User,UserNum,Task,Reg_tokens,Gherkin_tokens,Model
P10,10,1,111,309,Llama
P10,10,2,104,190,Llama
P10,10,3,63,194,Llama
P10,10,4,161,276,Llama
P10,10,5,86,169,Llama
P10,10,6,112,266,Llama
P10,10,7,166,339,Llama
P10,10,8,68,134,Llama
P10,10,9,39,203,Llama
P10,10,10,94,199,Llama
P10,10,11,53,170,Llama
P10,10,12,163,198,Llama
P9,9,1,111,309,Llama
P9,9,2,104,190,Llama
P9,9,3,63,194,Llama
P9,9,4,161,276,Llama
P9,9,5,86,169,Llama
P9,9,6,112,266,Llama
P9,9,7,166,339,Llama
P9,9,8,68,134,Llama
P9,9,9,39,203,Llama
P9,9,10,94,199,Llama
P9,9,11,53,170,Llama
P9,9,12,163,198,Llama
P8,8,1,193,384,Llama
P8,8,2,107,379,Llama
P8,8,3,142,287,Llama
P8,8,4,124,180,Llama
P8,8,5,53,195,Llama
P8,8,6,78,141,Llama
P8,8,7,48,170,Claude
P8,8,8,285,503,Claude
P8,8,9,288,470,Claude
P8,8,10,142,273,Claude
P8,8,11,110,464,Claude
P8,8,12,73,172,Claude
P7,7,1,193,384,Llama
P7,7,2,107,379,Llama
P7,7,3,142,287,Llama
P7,7,4,124,180,Llama
P7,7,5,53,195,Llama
P7,7,6,78,141,Llama
P7,7,7,48,170,Claude
P7,7,8,285,503,Claude
P7,7,9,288,470,Claude
P7,7,10,142,273,Claude
P7,7,11,110,464,Claude
P7,7,12,73,172,Claude
P5,5,1,193,315,Claude
P5,5,2,107,235,Claude
P5,5,3,142,222,Claude
P5,5,4,124,312,Claude
P5,5,5,53,249,Claude
P5,5,6,78,277,Claude
P5,5,7,48,135,Llama
P5,5,8,285,477,Llama
P5,5,9,288,347,Llama
P5,5,10,142,222,Llama
P5,5,11,110,293,Llama
P5,5,12,73,138,Llama
P4,4,1,49,116,Llama
P4,4,2,53,175,Llama
P4,4,3,125,302,Llama
P4,4,4,348,596,Llama
P4,4,5,669,698,Llama
P4,4,6,148,240,Llama
P4,4,7,166,350,Claude
P4,4,8,68,142,Claude
P4,4,9,39,107,Claude
P4,4,10,94,305,Claude
P4,4,11,53,202,Claude
P4,4,12,163,249,Claude
P3,3,1,49,116,Llama
P3,3,2,53,175,Llama
P3,3,3,125,302,Llama
P3,3,4,348,596,Llama
P3,3,5,669,698,Llama
P3,3,6,148,240,Llama
P3,3,7,166,350,Claude
P3,3,8,68,142,Claude
P3,3,9,39,107,Claude
P3,3,10,94,305,Claude
P3,3,11,53,202,Claude
P3,3,12,163,249,Claude
P2,2,1,49,212,Claude
P2,2,2,53,154,Claude
P2,2,3,125,185,Claude
P2,2,4,348,457,Claude
P2,2,5,669,689,Claude
P2,2,6,148,330,Claude
P2,2,7,111,464,Claude
P2,2,8,104,224,Claude
P2,2,9,63,200,Claude
P2,2,10,161,239,Claude
P2,2,11,86,223,Claude
P2,2,12,112,171,Claude
P1,1,1,49,212,Claude
P1,1,2,53,154,Claude
P1,1,3,125,185,Claude
P1,1,4,348,457,Claude
P1,1,5,669,689,Claude
P1,1,6,148,330,Claude
P1,1,7,111,464,Claude
P1,1,8,104,224,Claude
P1,1,9,63,200,Claude
P1,1,10,161,239,Claude
P1,1,11,86,223,Claude
P1,1,12,112,171,Claude
P6,6,1,193,315,Claude
P6,6,2,107,235,Claude
P6,6,3,142,222,Claude
P6,6,4,124,312,Claude
P6,6,5,53,249,Claude
P6,6,6,78,277,Claude
P6,6,7,48,135,Llama
P6,6,8,285,477,Llama
P6,6,9,288,347,Llama
P6,6,10,142,222,Llama
P6,6,11,110,293,Llama
P6,6,12,73,138,Llama
