User,UserNum,Task,Reg_tokens,Gherkin_tokens
P10,10,1,111,309
P10,10,2,104,190
P10,10,3,63,194
P10,10,4,161,276
P10,10,5,86,169
P10,10,6,112,266
P10,10,7,166,339
P10,10,8,68,134
P10,10,9,39,203
P10,10,10,94,199
P10,10,11,53,170
P10,10,12,163,198
P9,9,1,111,309
P9,9,2,104,190
P9,9,3,63,194
P9,9,4,161,276
P9,9,5,86,169
P9,9,6,112,266
P9,9,7,166,339
P9,9,8,68,134
P9,9,9,39,203
P9,9,10,94,199
P9,9,11,53,170
P9,9,12,163,198
P8,8,1,193,384
P8,8,2,107,379
P8,8,3,142,287
P8,8,4,124,180
P8,8,5,53,195
P8,8,6,78,141
P8,8,7,48,170
P8,8,8,285,503
P8,8,9,288,470
P8,8,10,142,273
P8,8,11,110,464
P8,8,12,73,172
P7,7,1,193,384
P7,7,2,107,379
P7,7,3,142,287
P7,7,4,124,180
P7,7,5,53,195
P7,7,6,78,141
P7,7,7,48,170
P7,7,8,285,503
P7,7,9,288,470
P7,7,10,142,273
P7,7,11,110,464
P7,7,12,73,172
P5,5,1,193,315
P5,5,2,107,235
P5,5,3,142,222
P5,5,4,124,312
P5,5,5,53,249
P5,5,6,78,277
P5,5,7,48,135
P5,5,8,285,477
P5,5,9,288,347
P5,5,10,142,222
P5,5,11,110,293
P5,5,12,73,138
P4,4,1,49,116
P4,4,2,53,175
P4,4,3,125,302
P4,4,4,348,596
P4,4,5,669,698
P4,4,6,148,240
P4,4,7,166,350
P4,4,8,68,142
P4,4,9,39,107
P4,4,10,94,305
P4,4,11,53,202
P4,4,12,163,249
P3,3,1,49,116
P3,3,2,53,175
P3,3,3,125,302
P3,3,4,348,596
P3,3,5,669,698
P3,3,6,148,240
P3,3,7,166,350
P3,3,8,68,142
P3,3,9,39,107
P3,3,10,94,305
P3,3,11,53,202
P3,3,12,163,249
P2,2,1,49,212
P2,2,2,53,154
P2,2,3,125,185
P2,2,4,348,457
P2,2,5,669,689
P2,2,6,148,330
P2,2,7,111,464
P2,2,8,104,224
P2,2,9,63,200
P2,2,10,161,239
P2,2,11,86,223
P2,2,12,112,171
P1,1,1,49,212
P1,1,2,53,154
P1,1,3,125,185
P1,1,4,348,457
P1,1,5,669,689
P1,1,6,148,330
P1,1,7,111,464
P1,1,8,104,224
P1,1,9,63,200
P1,1,10,161,239
P1,1,11,86,223
P1,1,12,112,171
P6,6,1,193,315
P6,6,2,107,235
P6,6,3,142,222
P6,6,4,124,312
P6,6,5,53,249
P6,6,6,78,277
P6,6,7,48,135
P6,6,8,285,477
P6,6,9,288,347
P6,6,10,142,222
P6,6,11,110,293
P6,6,12,73,138
